,Point of Sales,,Comments 
1,User Friendly Key Setup,,
2,"Speedy checkout processing Print drink docut ( Drink orderd , Customer Name )  a Stiker ",,
3,Customer touch display with phone number entaring option ( Keels ) ,,
4,"Inhouse self ordering tab  with payment get away and  Drinks  paging buzzers   , Touch display  ",,
5,"Menu setup and configuration,",,
,Itemized Modifiers / Options,,
,Combo Meals,,
6,Table setup and configuration / Privet Rooms,,
7,Control sales and Menu bacross multiple locations,,
8,Dash Board with centerlized data,,
9,Kitchen Instructions,,
10,Kitchen Notifications,,
,,,
11,Hold Bills - Open Ordering tabs,,
,Item Swap/Substitute,,
12,Multiple payment types,,Split Payments
13,Promotions and Discounts,,Reasons with Discount Percentage
14,Voids & Refunds,,"For the order, if voided should move to hold bill"
15,Item delete approval and History,,
16,Roll Based User Approval,,
17,"Manage Dine-In, Take-Out, Delivery Orders ",,
18,Paperless Billing System - Text Massage or Email,,
19,KOT / BOT Prints,,
20,Customer Recipt,,
21,Order Token Management ,,
22,Create and Assigned orders to tables,,
23,Unlimited Users,,
24,Speed of service tracking ,,
25,Hourly Sales / Current Sale / Day end sale Report,,
26,"Print drink docut ( Drink orderd , Customer Name )  a Stiker ",,
27,Day Open Day end ,,
,,,
,,,
,,,
,Outlet Inventory Module,,
,Roll based user logins.,,
,Multiple Stock Locations,,
,Multiple Sub Stores,,
,Inventory Control,Request order ,Recive Note 
,Manage Stock Item Categories/ Subcategories,,
,Manage Outlet costing,,
,Recipe Management,,
,Food Costing,,
,Raw Item Management ,AP/EP ,Calculating Yield
,Wastage entry ,,
,Bulk import & export,,
,Manual Inventory on regular basis,,weekly 
,"Maintain Reorder level, Reorder Quantity, Max, and Minimum stock levels. o Multiple UOM and conversions",,
,Production management,,
,Real-time updates,,
,CENTRAL INVENTORY & PURCHASING MODULE ,,
,Batch Processing,,
,Variable NBT Customization,,
,Semi-Finished Goods Costing,,
,Multiple Stock Locations,,
,Transfer inventory between Multiple Stock Locations,,
,Units of Measure (UOM),,
,Costing by average method available,,
,Warehouse Management,,
,"Reduce stock levels, but avoid stock out",,
,Associate products with multiple vendors,,
,Set re-order levels & amounts,,
,Multi-level Categories,,
,Identify slow-moving Items,,
,Purchase Order Details,,
,Purchase Order approval,,
,Purchase Order Cancellation,,
,Good Received Note (GRN),,
,Goods Return Process,, 
,Issue Requisition Cancellation Note,,
,Issue Note,,
,Job wise Issue Note,,
,Issue Return Note,,
,Requisition – Transfer Out,,
,Cancellation – Requisition Transfer,,
,Transfer Out,,
,Direct Transfer,,
,Damage Note,,
,Stock Reconciliation,,
,General Ledger,,
,Chart of Accounts Department Wise P/L Balance Sheet,,
,Bank Reconciliation,,
,Accounts Receivable Multiple Debtor types Debit / Credit Notes Age Analysis,,
,Accounts Payable Multiple Creditor types Debit / Credit Notes Age Analysis Unlimited Users,,
,Loyal Tea Management Module,,
,Company Profile Management ,,
,Earn/Burn Points Facility,,
,Loyalty Categories,,
,Special Discount for Customers,,
,Sales Analysis Reports,,
,SMS Gateway Integration / Emails,,
,Sync Customer loyalty point details with multipale outlets ,,
,Tea Avenue  App ,,
,Customer sing in ,,
,Customer Profile,,
,Ordering trough app and payment getaway ,,
,Customer can control there loyalty points burn when ever they want ,,
,Sheduled order option for customer ,,
,Place Pick up order ,,
,Order or service review option ,,